Ants,Larva,Food
161.2,79.3,1.6
161.6,80.3,2.0
160.5,82.0,2.1
160.2,80.0,3.7
159.7,81.5,2.6
157.7,84.2,1.5
157.6,81.3,2.9
158.6,80.5,1.8
158.2,81.6,2.3
155.9,80.1,1.3
154.7,78.7,1.2
156.0,78.7,3.5
157.8,78.4,2.1
159.6,79.0,2.1
159.2,78.9,2.8
161.0,79.8,2.0
159.5,79.8,4.1
159.2,79.1,2.0
159.0,77.4,1.9
158.3,79.0,1.8
159.5,78.4,1.4
158.3,77.4,1.4
155.3,77.8,3.2
155.3,79.7,2.6
156.6,79.0,1.9
157.1,79.8,2.5
155.2,83.3,1.4
153.7,82.6,1.4
151.6,78.8,1.4
152.7,76.7,1.2
153.7,74.1,2.0
154.8,74.1,2.6
157.3,73.5,1.6
156.7,76.5,2.2
158.0,77.7,3.3
156.9,82.5,2.5
157.5,84.0,2.1
157.3,84.9,2.8
154.8,85.0,2.2
158.6,84.2,2.0
159.2,80.2,2.0
160.6,78.0,1.0
160.4,74.9,3.0
161.8,74.9,3.2
164.4,75.2,1.0
161.3,76.1,1.7
161.4,75.8,2.8
161.1,77.5,2.4
158.9,78.6,2.8
162.0,79.5,2.5
161.0,80.8,2.2
161.0,82.5,2.7
161.0,83.8,1.4
163.3,84.9,1.8
164.0,82.5,2.3
166.7,85.0,2.6
167.1,83.9,3.4
171.5,83.7,1.6
171.6,84.4,1.7
170.3,87.1,3.0
172.4,85.7,2.3
173.4,86.9,2.4
174.3,87.2,1.6
174.9,85.6,3.7
176.9,87.0,2.0
175.8,87.9,1.7
175.1,88.2,2.9
174.4,85.0,2.4
173.8,83.3,1.8
175.6,79.9,1.8
173.0,78.4,2.6
174.2,76.3,2.0
172.8,77.5,2.3
173.5,82.5,3.1
171.8,84.0,4.1
170.9,84.8,3.3
170.2,88.3,1.6
170.3,86.9,1.9
170.6,83.5,2.3
167.5,82.5,4.2
170.0,81.5,1.9
169.1,78.3,1.5
168.7,78.8,1.7
167.4,80.2,2.7
166.6,80.0,2.1
166.9,82.8,1.2
165.0,84.3,2.8
165.4,85.0,1.2
164.3,83.6,2.3
164.0,85.9,2.0
167.3,83.3,2.8
167.7,81.4,1.9
169.6,81.1,2.7
168.8,81.9,2.2
168.1,80.2,1.2
165.9,80.5,1.5
162.2,81.1,3.9
162.3,80.3,2.7
161.7,79.6,0.6
157.0,78.7,0.7
155.6,79.3,2.3
156.0,79.9,2.9
157.1,78.1,1.8
156.8,77.8,2.4
156.4,78.1,1.2
156.7,76.7,1.3
154.8,73.3,2.6
156.7,73.6,2.6
156.6,74.4,1.1
156.8,75.0,2.5
155.9,76.6,1.5
153.2,81.5,5.1
154.6,84.7,2.4
153.8,81.8,1.7
153.0,82.7,1.1
153.4,80.6,2.4
151.7,78.1,2.2
151.2,75.3,1.4
152.4,76.3,1.0
151.0,74.1,0.5
151.3,74.1,2.4
152.8,75.1,3.2
154.7,77.1,2.3
155.7,77.4,2.2
156.3,80.4,2.6
155.8,83.9,2.1
155.8,83.1,1.8
153.1,80.1,0.8
153.6,78.4,3.0
155.5,78.2,1.5
156.2,76.3,2.2
157.3,77.0,2.9
157.7,79.3,2.6
